transaction_id,window,label,task,variant,run_tag,model,prompt_version,company_name,n_headlines_total,n_headlines_sent,n_edgar_filings,window_end_month,latency_s,input_tokens,output_tokens,cost_usd,finish_reason,refusal,parse_ok,error,llm_ma_rumor_intensity,llm_strategic_alternatives_review,llm_activist_pressure,llm_management_instability,llm_financial_distress,llm_undervaluation_narrative,llm_sector_consolidation_wave,llm_regulatory_antitrust_attention,llm_divestiture_restructuring,llm_growth_expansion_tone,llm_acquisition_likelihood,llm_headline_information_quality,llm_dominant_theme,llm_recognized_company,llm_recognized_deal,llm_evidence_quotes,llm_rationale,label_int
SPTRD1682496,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,"TerraForm Power, Inc.",36,36,3,2019-07,4.1,1851,320,0.001103,stop,0,1,,2,1,4,3,2,2,3,0,1,5,12,4,macro_sector,0,0,"[""SHAREHOLDER ALERT : Purcell Julie & Lefkowitz LLP Is Investigating TerraForm Power , Inc . for Potential Breaches Of Fiduciary Duty By Its Board of Directors (prnewswire.com)"", ""TerraForm Power ( TERP ) Presents At J . P . Morgan 2019 Energy Conference - Slideshow (seekingalpha.com)"", ""TerraForm Power : Margin Enhancement Initiatives Will Improve Its Outlook In 2019 (seekingalpha.com)""]","Coverage is mostly sector and dividend-oriented; one shareholder investigation suggests some governance/activist pressure and a few management/financial items, but little explicit deal talk.",0
SPTRD1682496,pre,1,extract,unmasked,r1,gpt-5-mini,v1,"TerraForm Power, Inc.",0,0,6,2020-01,2.51,929,224,0.00068,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; only that six Form 8-Ks were filed—insufficient textual signals for deal indications, so scores are near zero with a neutral 5% acquisition likelihood as a baseline.",1
SPTRD1767480,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,ZeniMax Media Inc.*,7,7,0,2020-03,3.49,1124,285,0.000851,stop,0,1,,6,0,0,0,0,0,3,0,0,3,25,4,ma_speculation,1,0,"[""Dont Believe the Sony Buying Zenimax Rumor , It Baseless and Likely Fake"", ""Sony Rumored Acquisition Of ZeniMax Kicks Off 2020"", ""Ridiculous Rumour Claims Sony Is About to Buy Bethesda Parent Company ZeniMax and All Its Studios""]","Multiple contemporaneous headlines explicitly claim or refute a Sony acquisition rumor (but are characterized as dubious), while the rest are product/marketing items; no filings or strategic-review language present.",0
SPTRD1767480,pre,1,extract,unmasked,r1,gpt-5-mini,v1,ZeniMax Media Inc.*,16,16,1,2020-09,2.56,1307,197,0.000721,stop,0,1,,0,0,0,0,0,0,1,0,0,1,2,2,other,1,0,"[""Everything We Know About Amazon Fallout TV Series"", ""Mobile games platform Skillz to go public via merger with SPAC Flying Eagle Acquisition""]",Headlines largely unrelated to ZeniMax (many about Robert Trump); small amount of gaming/entertainment sector noise but no direct M&A signals for ZeniMax.,1
SPTRD1918053,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,1,2021-05,2.75,929,162,0.000556,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],No headlines or textual signals provided; default to low evidence across dimensions with a neutral midline acquisition likelihood due to lack of information.,0
SPTRD1918053,pre,1,extract,unmasked,r1,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,3,2021-11,2.37,936,220,0.000674,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],No headlines provided; only filings types noted so most signal scores are zero; a low base acquisition likelihood (5%) reflects typical background probability for a REIT with no textual signals.,1
SPTRD1790142,pre,1,extract,unmasked,r1,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,2,2020-12,3.78,929,175,0.000582,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only company name, period, and two 8-K filings—insufficient evidence for signals, so scores default low with a neutral mid estimate (5%) for acquisition likelihood.",1
SPTRD1790142,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,5,2020-06,3.78,929,220,0.000672,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; only company name and filings count—insufficient direct signals, so default low scores with a neutral modest acquisition likelihood reflecting typical market activity for a public tech company.",0
SPTRD1954425,pre,1,extract,unmasked,r1,gpt-5-mini,v1,"Twitter, Inc.",46,46,86,2022-04,3.8,2178,163,0.00087,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,other,1,0,[],"Headlines are general news items unrelated to the company; no text references Twitter, deals, leadership, finance, or sector M&A.",1
SPTRD1800374,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,Great American Life Insurance Company,0,0,4,2020-07,4.42,931,220,0.000673,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,0,0,[],"No headlines provided and only note of four 8‑K filings; absence of deal-related text yields essentially no M&A signals, so low scores and a minimal baseline acquisition likelihood.",0
